immutable_pool_sui,immutable_pool_tokens,price_of_last_transaction,staked_sui_count,staked_sui_activated_count,staked_sui_pools_count,token_total_supply,pending_amount,staked_amount,staked_with_rewards_balance,all_time_promised_amount,promised_amount,promised_fulfilled,promised_amount_in_staked,extra_staked_in_promised,all_time_extra_amount,still_waiting_for_sui_amount,price_calculated,epoch,user_balance_sui,user_balance_tokens
"10000000000","10000000000","1.712040448","27","27","4","37.040517685","0.152924339","62.000000000","68.698165817","466.637016514","15.436225631","10.299407857","0.000000000","0.000000000","1.045198050","0.000000000","1.7120404489022736","100","3940.329393270","27.040517685"
"10000000000","10000000000","1.71640717","27","27","4","36.958221451","0.005746912","62.000000000","68.859911443","471.778270357","15.430302047","10.295983355","0.000000000","0.000000000","1.045198050","0.000000000","1.7164071705156037","101","3940.475234743","26.958221451"
"10000000000","10000000000","1.720783405","27","26","4","36.877487285","0.328542999","62.000000000","68.553633912","476.917196366","15.424008740","10.292396743","0.000000000","0.000000000","1.045198050","0.000000000","1.7207834058914244","102","3940.591996215","26.877487285"
"10000000000","10000000000","1.725012195","24","24","4","10.000000000","0.029194617","58.000000000","63.865100543","523.281189703","56.644173189","10.289048204","0.000000000","0.000000000","1.045198050","0.000000000","1.7250121971","103","3945.782608198","0.000000000"
"10000000000","10000000000","1.725012195","23","23","4","10.000000000","0.640368348","53.055669784","58.261963441","523.281189703","51.502919346","10.285082731","0.000000000","0.000000000","1.045198050","0.000000000","1.7399412443","104","3950.931287346","0.000000000"
"10000000000","10000000000","1.725012195","23","22","4","10.000000000","0.273599237","49.055669784","53.625675085","523.281189703","46.363993337","10.280179852","0.000000000","0.000000000","1.045198050","0.000000000","1.7535280985","105","3956.077974146","0.000000000"
"10000000000","10000000000","1.725012195","5","5","3","10.000000000","0.047013406","7.350302874","7.610700795","523.281189703","0.000000000","51.502919346","0.000000000","0.000000000","1.045198050","0.000000000","1.7657714201","106","3961.232029901","0.000000000"
"10000000000","10000000000","1.725012195","5","5","3","10.000000000","0.047013406","7.350302874","7.628365101","523.281189703","0.000000000","46.363993337","0.000000000","0.000000000","1.045198050","0.000000000","1.7675378507","107","3966.398784534","0.000000000"
"10000000000","10000000000","1.725012195","5","5","3","10.000000000","0.047013406","7.350302874","7.646028571","523.281189703","0.000000000","0.000000000","0.000000000","0.000000000","1.045198050","0.000000000","1.7693041977","108","4012.763595335","0.000000000"
"10000000000","10000000000","1.725012195","5","5","3","10.000000000","0.047013406","7.350302874","7.663691211","523.281189703","0.000000000","0.000000000","0.000000000","0.000000000","1.045198050","0.000000000","1.7710704617","109","4012.763482179","0.000000000"
